food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q141293,Dondurma,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q141293,Dondurma,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q370799,Q370799,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q628526,Smörgåsglass,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q628526,Smörgåsglass,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q644776,Q644776,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q855373,isglass,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q855373,isglass,http://www.wikidata.org/entity/Q19798846,pinnglass
http://www.wikidata.org/entity/Q934171,Q934171,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q1052815,Q1052815,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q1319591,Q1319591,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q1362405,gelato,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q1362405,gelato,http://www.wikidata.org/entity/Q866153,Q866153
http://www.wikidata.org/entity/Q1397211,mjukglass,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q1432826,Q1432826,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q1465330,Q1465330,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q1756296,Spagettiglass,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q1957030,Q1957030,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q2461856,Tutti frutti,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q2895836,Q2895836,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q2895836,Q2895836,http://www.wikidata.org/entity/Q182940,dessert
http://www.wikidata.org/entity/Q3013199,chokladglass,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q3013199,chokladglass,http://www.wikidata.org/entity/Q84435149,Q84435149
http://www.wikidata.org/entity/Q3051553,Q3051553,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q3108252,Q3108252,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q3308312,Q3308312,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q3499942,Q3499942,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q4001072,Q4001072,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q4839946,Q4839946,http://www.wikidata.org/entity/Q13233,glass
http://www.wikidata.org/entity/Q4929458,Q4929458,http://www.wikidata.org/entity/Q13233,glass
