food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q7533,squash,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q7533,squash,http://www.wikidata.org/entity/Q1470762,Q1470762
http://www.wikidata.org/entity/Q20134,Bladgrönsaker,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q26297,Ängssyra,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q27943,Glasört,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q37937,sötpotatis,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q37937,sötpotatis,http://www.wikidata.org/entity/Q736427,stapelföda
http://www.wikidata.org/entity/Q43511,Fänkål,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q43511,Fänkål,http://www.wikidata.org/entity/Q207123,ört
http://www.wikidata.org/entity/Q45989,grönkål,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q45989,grönkål,http://www.wikidata.org/entity/Q20134,Bladgrönsaker
http://www.wikidata.org/entity/Q47722,broccoli,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q146212,Kål,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q146212,Kål,http://www.wikidata.org/entity/Q46019061,Q46019061
http://www.wikidata.org/entity/Q147202,Kålrabbi,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q150452,Källfräne,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q150452,Källfräne,http://www.wikidata.org/entity/Q186101,Q186101
http://www.wikidata.org/entity/Q150452,Källfräne,http://www.wikidata.org/entity/Q190903,ört
http://www.wikidata.org/entity/Q154013,Q154013,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q154013,Q154013,http://www.wikidata.org/entity/Q20134,Bladgrönsaker
http://www.wikidata.org/entity/Q154013,Q154013,http://www.wikidata.org/entity/Q146212,Kål
http://www.wikidata.org/entity/Q158464,kålrot,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q158505,Trädgårdsmålla,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q158711,Våtarv,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q159262,Spjutmålla,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q159587,Svart rättika,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q160571,Butternutpumpa,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q160571,Butternutpumpa,http://www.wikidata.org/entity/Q165308,pumpa
http://www.wikidata.org/entity/Q161180,Jättepumpa,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q161489,Corchorus,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q164347,Sumpnässla,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q165308,pumpa,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q165308,pumpa,http://www.wikidata.org/entity/Q13184,bär
http://www.wikidata.org/entity/Q165308,pumpa,http://www.wikidata.org/entity/Q5339237,Squash
http://www.wikidata.org/entity/Q165343,Corchorus olitorius,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q165437,rödbeta,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q165449,kokbanan,http://www.wikidata.org/entity/Q503,banan
http://www.wikidata.org/entity/Q165449,kokbanan,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q196332,Bocktörne,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q201959,Spanskpepparsläktet,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q201959,Spanskpepparsläktet,http://www.wikidata.org/entity/Q186752,allergen
http://www.wikidata.org/entity/Q202058,Q202058,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q217778,kirskål,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q228122,Sium sisarum,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q244599,Q244599,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q263203,rödkål,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q263203,rödkål,http://www.wikidata.org/entity/Q20134,Bladgrönsaker
http://www.wikidata.org/entity/Q263203,rödkål,http://www.wikidata.org/entity/Q14328596,Q14328596
http://www.wikidata.org/entity/Q264770,Cyamopsis tetragonoloba,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q272754,Sallatsipomea,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q311239,Dioscorea bulbifera,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q311420,Solanum incanum,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q331676,Kålmolke,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q369447,Vigna mungo,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q379813,Q379813,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q379813,Q379813,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q379813,Q379813,http://www.wikidata.org/entity/Q40763,frö
http://www.wikidata.org/entity/Q380279,Azukiböna,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q385259,Svartrot,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q431138,Cucurbita ficifolia,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q484447,Mungböna,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q486904,Praktmålla,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q490367,Q490367,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q490367,Q490367,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q508630,Q508630,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q508630,Q508630,http://www.wikidata.org/entity/Q3406628,lök
http://www.wikidata.org/entity/Q511249,Vigna aconitifolia,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q517283,Pachyrhizus erosus,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q625399,Arracacia xanthorrhiza,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q645199,Q645199,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q645199,Q645199,http://www.wikidata.org/entity/Q165308,pumpa
http://www.wikidata.org/entity/Q654236,Matsvamp,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q654236,Matsvamp,http://www.wikidata.org/entity/Q83093,fruktkropp
http://www.wikidata.org/entity/Q654236,Matsvamp,http://www.wikidata.org/entity/Q14515951,Q14515951
http://www.wikidata.org/entity/Q670887,Bambu,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q670887,Bambu,http://www.wikidata.org/entity/Q9323487,ätbar växt
http://www.wikidata.org/entity/Q670887,Bambu,http://www.wikidata.org/entity/Q11992872,Q11992872
http://www.wikidata.org/entity/Q767765,Radicchiosallad,http://www.wikidata.org/entity/Q9266,sallad
http://www.wikidata.org/entity/Q767765,Radicchiosallad,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q767765,Radicchiosallad,http://www.wikidata.org/entity/Q20134,Bladgrönsaker
http://www.wikidata.org/entity/Q774278,Salladslök,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q812274,Q812274,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q821353,Q821353,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q876892,Q876892,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q882723,Q882723,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q887236,Q887236,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q941639,Äkta haverrot,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q947251,Sesbania grandiflora,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q978399,soltorkade tomater,http://www.wikidata.org/entity/Q11004,grönsak
