food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q22862,Q22862,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q43022,turkiskt kaffe,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q59047,Q59047,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q59048,Q59048,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q70408,Q70408,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q70408,Q70408,http://www.wikidata.org/entity/Q37756327,Q37756327
http://www.wikidata.org/entity/Q213908,Kopi Luwak,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q793831,Q793831,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q856712,Q856712,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q858049,snabbkaffe,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q858049,snabbkaffe,http://www.wikidata.org/entity/Q37756327,Q37756327
http://www.wikidata.org/entity/Q858049,snabbkaffe,http://www.wikidata.org/entity/Q100320957,Q100320957
http://www.wikidata.org/entity/Q885800,Jamaica Blue Mountain,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q972403,Q972403,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q1094149,Q1094149,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q1150728,Q1150728,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q1152551,Caffè americano,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q1152551,Caffè americano,http://www.wikidata.org/entity/Q40050,dryck
http://www.wikidata.org/entity/Q1155703,Q1155703,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q2122177,Q2122177,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q2330448,Q2330448,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q2640927,Q2640927,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q2642722,Q2642722,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q2708973,Q2708973,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q2708973,Q2708973,http://www.wikidata.org/entity/Q40050,dryck
http://www.wikidata.org/entity/Q2932953,Q2932953,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q2933002,Q2933002,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q3821876,Q3821876,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q5032637,Q5032637,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q5032637,Q5032637,http://www.wikidata.org/entity/Q13485782,Ultraprocessad mat
http://www.wikidata.org/entity/Q5032637,Q5032637,http://www.wikidata.org/entity/Q18396746,Q18396746
http://www.wikidata.org/entity/Q5103566,Q5103566,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q5142444,Q5142444,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q5142444,Q5142444,http://www.wikidata.org/entity/Q37756327,Q37756327
http://www.wikidata.org/entity/Q5297347,Q5297347,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q5739227,Q5739227,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q5739227,Q5739227,http://www.wikidata.org/entity/Q40050,dryck
http://www.wikidata.org/entity/Q6902630,Q6902630,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q7157205,Q7157205,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q7523753,Q7523753,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q13637859,Q13637859,http://www.wikidata.org/entity/Q8486,kaffe
http://www.wikidata.org/entity/Q15726911,Q15726911,http://www.wikidata.org/entity/Q8486,kaffe
