food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q6099,Schnitzel,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q6099,Schnitzel,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q6099,Schnitzel,http://www.wikidata.org/entity/Q1427844,Q1427844
http://www.wikidata.org/entity/Q18226,Kattkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q191768,fläskkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q191768,fläskkött,http://www.wikidata.org/entity/Q3243069,Q3243069
http://www.wikidata.org/entity/Q192628,nötkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q282910,Q282910,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q282910,Q282910,http://www.wikidata.org/entity/Q3687258,Q3687258
http://www.wikidata.org/entity/Q386005,Q386005,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q449506,Q449506,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q449506,Q449506,http://www.wikidata.org/entity/Q28100830,Q28100830
http://www.wikidata.org/entity/Q542042,Q542042,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q542042,Q542042,http://www.wikidata.org/entity/Q18087876,Q18087876
http://www.wikidata.org/entity/Q611909,Odlat kött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q649978,Bushmeat,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q650685,Kassler,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q650685,Kassler,http://www.wikidata.org/entity/Q191768,fläskkött
http://www.wikidata.org/entity/Q650685,Kassler,http://www.wikidata.org/entity/Q18396734,Q18396734
http://www.wikidata.org/entity/Q788412,Q788412,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q826031,hundkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q837341,Q837341,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q864693,kycklingkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q864693,kycklingkött,http://www.wikidata.org/entity/Q18087876,Q18087876
http://www.wikidata.org/entity/Q957434,kalvkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1124327,hästkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1258910,Grodlår,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1347754,Pastrami,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1516873,Q1516873,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1542282,Tête de veau,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1682434,Q1682434,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1682434,Q1682434,http://www.wikidata.org/entity/Q18396734,Q18396734
http://www.wikidata.org/entity/Q1712540,Q1712540,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1722914,Q1722914,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1753272,Q1753272,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1753272,Q1753272,http://www.wikidata.org/entity/Q13163235,Q13163235
http://www.wikidata.org/entity/Q1795395,kängurukött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q1795395,kängurukött,http://www.wikidata.org/entity/Q649978,Bushmeat
http://www.wikidata.org/entity/Q2253971,Lägg (mat),http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q2296872,Q2296872,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q2296872,Q2296872,http://www.wikidata.org/entity/Q19862498,viltkött
http://www.wikidata.org/entity/Q3243069,Q3243069,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q3315904,Q3315904,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q3409075,Q3409075,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q3497742,Q3497742,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q3497742,Q3497742,http://www.wikidata.org/entity/Q28100368,Q28100368
http://www.wikidata.org/entity/Q3556745,Q3556745,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q3556748,Q3556748,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q3660407,Q3660407,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q3660407,Q3660407,http://www.wikidata.org/entity/Q18396746,Q18396746
http://www.wikidata.org/entity/Q4009754,Q4009754,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q4200953,kalkonkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q4200953,kalkonkött,http://www.wikidata.org/entity/Q18087876,Q18087876
http://www.wikidata.org/entity/Q4241583,Q4241583,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q4741197,Q4741197,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q4741197,Q4741197,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q4741197,Q4741197,http://www.wikidata.org/entity/Q746549,maträtt
http://www.wikidata.org/entity/Q5180246,Q5180246,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q5653150,Q5653150,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q5752993,Q5752993,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q5994400,Q5994400,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q5994400,Q5994400,http://www.wikidata.org/entity/Q51873806,Q51873806
http://www.wikidata.org/entity/Q6191001,Jhatka,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q6418247,Q6418247,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q6448406,Q6448406,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q6804273,Q6804273,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q6948885,Q6948885,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q7296903,Q7296903,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q7296903,Q7296903,http://www.wikidata.org/entity/Q21198046,Råkost
http://www.wikidata.org/entity/Q7405484,Q7405484,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q7405484,Q7405484,http://www.wikidata.org/entity/Q600396,Fisk
http://www.wikidata.org/entity/Q7405484,Q7405484,http://www.wikidata.org/entity/Q28100128,Q28100128
http://www.wikidata.org/entity/Q7581884,Q7581884,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q10572617,långkok,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q10650944,Renkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q10650944,Renkött,http://www.wikidata.org/entity/Q19862498,viltkött
http://www.wikidata.org/entity/Q10865379,Q10865379,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q11571934,Q11571934,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q11571934,Q11571934,http://www.wikidata.org/entity/Q2296872,Q2296872
http://www.wikidata.org/entity/Q11571934,Q11571934,http://www.wikidata.org/entity/Q19862498,viltkött
http://www.wikidata.org/entity/Q12045578,Q12045578,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q12045578,Q12045578,http://www.wikidata.org/entity/Q746549,maträtt
http://www.wikidata.org/entity/Q13400960,köttfärs,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q13400960,köttfärs,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q13400960,köttfärs,http://www.wikidata.org/entity/Q3955017,halvfabrikat
http://www.wikidata.org/entity/Q13400960,köttfärs,http://www.wikidata.org/entity/Q29913592,Q29913592
http://www.wikidata.org/entity/Q14566073,fårkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q17011993,Q17011993,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q17067753,fladdermus som föda,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q17222480,Q17222480,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q17442381,Q17442381,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q17442381,Q17442381,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q17444380,Q17444380,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q17623256,Q17623256,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q17623256,Q17623256,http://www.wikidata.org/entity/Q1682434,Q1682434
http://www.wikidata.org/entity/Q18087876,Q18087876,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q18087876,Q18087876,http://www.wikidata.org/entity/Q3315904,Q3315904
http://www.wikidata.org/entity/Q18087876,Q18087876,http://www.wikidata.org/entity/Q60443694,Q60443694
http://www.wikidata.org/entity/Q18204661,Q18204661,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q19862498,viltkött,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q21533364,Q21533364,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q21533364,Q21533364,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q23044244,Q23044244,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q23808610,Q23808610,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q29545091,Q29545091,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q29545091,Q29545091,http://www.wikidata.org/entity/Q16920758,Q16920758
http://www.wikidata.org/entity/Q30682876,Q30682876,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q30682876,Q30682876,http://www.wikidata.org/entity/Q649978,Bushmeat
http://www.wikidata.org/entity/Q36269836,Q36269836,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q41570118,Q41570118,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q46976697,Q46976697,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q51873806,Q51873806,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q58173066,Q58173066,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q67860017,Q67860017,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q67860017,Q67860017,http://www.wikidata.org/entity/Q275068,buljong
http://www.wikidata.org/entity/Q81443861,Q81443861,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q86914792,Q86914792,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q98163379,Q98163379,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q98546225,Q98546225,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q98593562,Q98593562,http://www.wikidata.org/entity/Q10990,kött
http://www.wikidata.org/entity/Q98915158,Q98915158,http://www.wikidata.org/entity/Q10990,kött
