food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q8495,mjölk,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q8495,mjölk,http://www.wikidata.org/entity/Q40050,dryck,,,,
http://www.wikidata.org/entity/Q8495,mjölk,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q8495,mjölk,http://www.wikidata.org/entity/Q187634,Emulsion,,,,
http://www.wikidata.org/entity/Q8495,mjölk,http://www.wikidata.org/entity/Q1058795,kroppsvätska,,,,
http://www.wikidata.org/entity/Q8495,mjölk,http://www.wikidata.org/entity/Q25403900,livsmedelsingrediens,,,,
http://www.wikidata.org/entity/Q10943,ost,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q10943,ost,http://www.wikidata.org/entity/Q25403900,livsmedelsingrediens,,,,
http://www.wikidata.org/entity/Q10943,ost,http://www.wikidata.org/entity/Q26844116,Q26844116,,,,
http://www.wikidata.org/entity/Q13228,grädde,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q13228,grädde,http://www.wikidata.org/entity/Q26845451,Q26845451,,,,
http://www.wikidata.org/entity/Q13233,glass,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q13233,glass,http://www.wikidata.org/entity/Q866153,Q866153,,,,
http://www.wikidata.org/entity/Q13233,glass,http://www.wikidata.org/entity/Q3712597,Q3712597,,,,
http://www.wikidata.org/entity/Q13317,Yoghurt,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q13317,Yoghurt,http://www.wikidata.org/entity/Q26868224,Q26868224,,,,
http://www.wikidata.org/entity/Q13317,Yoghurt,http://www.wikidata.org/entity/Q26868454,Q26868454,,,,
http://www.wikidata.org/entity/Q13317,Yoghurt,http://www.wikidata.org/entity/Q26868628,Q26868628,,,,
http://www.wikidata.org/entity/Q34172,smör,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
http://www.wikidata.org/entity/Q34172,smör,http://www.wikidata.org/entity/Q912613,matfett,,,,
http://www.wikidata.org/entity/Q34172,smör,http://www.wikidata.org/entity/Q26869352,Q26869352,,,,
http://www.wikidata.org/entity/Q34172,smör,http://www.wikidata.org/entity/Q26882158,Q26882158,,,,
http://www.wikidata.org/entity/Q61081,Kumys,http://www.wikidata.org/entity/Q185217,mejeriprodukt,,,,
