food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q149825,Q149825,http://www.wikidata.org/entity/Q11009,nöt,,,,
http://www.wikidata.org/entity/Q149825,Q149825,http://www.wikidata.org/entity/Q3320037,Q3320037,,,,
http://www.wikidata.org/entity/Q578307,hasselnöt,http://www.wikidata.org/entity/Q11009,nöt,,,,
http://www.wikidata.org/entity/Q578307,hasselnöt,http://www.wikidata.org/entity/Q3320037,Q3320037,,,,
http://www.wikidata.org/entity/Q773987,Q773987,http://www.wikidata.org/entity/Q11009,nöt,,,,
http://www.wikidata.org/entity/Q773987,Q773987,http://www.wikidata.org/entity/Q3320037,Q3320037,,,,
http://www.wikidata.org/entity/Q912522,Kolanöt,http://www.wikidata.org/entity/Q11009,nöt,,,,
http://www.wikidata.org/entity/Q912522,Kolanöt,http://www.wikidata.org/entity/Q3320037,Q3320037,,,,
http://www.wikidata.org/entity/Q2138566,Q2138566,http://www.wikidata.org/entity/Q11009,nöt,,,,
http://www.wikidata.org/entity/Q7885904,Q7885904,http://www.wikidata.org/entity/Q11009,nöt,,,,
http://www.wikidata.org/entity/Q7885904,Q7885904,http://www.wikidata.org/entity/Q951964,livsmedelsprodukt,,,,
http://www.wikidata.org/entity/Q7885904,Q7885904,http://www.wikidata.org/entity/Q3320037,Q3320037,,,,
http://www.wikidata.org/entity/Q18609180,Q18609180,http://www.wikidata.org/entity/Q11009,nöt,,,,
