food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q204193,Q204193,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q206541,Citronolja,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q280159,Råtallolja,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q351216,Q351216,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q351216,Q351216,http://www.wikidata.org/entity/Q323840,smörjmedel,,,,
http://www.wikidata.org/entity/Q385777,Q385777,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q427457,matolja,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q427457,matolja,http://www.wikidata.org/entity/Q912613,matfett,,,,
http://www.wikidata.org/entity/Q427457,matolja,http://www.wikidata.org/entity/Q25403900,livsmedelsingrediens,,,,
http://www.wikidata.org/entity/Q583582,mineralolja,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q1233250,Q1233250,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q1233250,Q1233250,http://www.wikidata.org/entity/Q1423543,Animaliskt fett,,,,
http://www.wikidata.org/entity/Q2485255,Q2485255,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q2549301,Q2549301,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q2549301,Q2549301,http://www.wikidata.org/entity/Q37931493,Q37931493,,,,
http://www.wikidata.org/entity/Q2557627,Q2557627,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q2781352,Q2781352,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q2792989,Q2792989,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q4739805,vegetabilisk olja,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q4739805,vegetabilisk olja,http://www.wikidata.org/entity/Q427457,matolja,,,,
http://www.wikidata.org/entity/Q4739805,vegetabilisk olja,http://www.wikidata.org/entity/Q11870297,Vegetabiliskt fett,,,,
http://www.wikidata.org/entity/Q4739805,vegetabilisk olja,http://www.wikidata.org/entity/Q25403900,livsmedelsingrediens,,,,
http://www.wikidata.org/entity/Q4800855,Q4800855,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q5104115,Q5104115,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q5198170,Q5198170,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q7048902,Q7048902,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q7048902,Q7048902,http://www.wikidata.org/entity/Q37931493,Q37931493,,,,
http://www.wikidata.org/entity/Q7449295,Q7449295,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q11673344,Q11673344,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q11673344,Q11673344,http://www.wikidata.org/entity/Q5639586,Q5639586,,,,
http://www.wikidata.org/entity/Q12856882,Q12856882,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q13004253,Q13004253,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q18410610,Q18410610,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q19944476,Urushiol,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q19944476,Urushiol,http://www.wikidata.org/entity/Q145205,harts,,,,
http://www.wikidata.org/entity/Q19944476,Urushiol,http://www.wikidata.org/entity/Q169336,blandning,,,,
http://www.wikidata.org/entity/Q19944476,Urushiol,http://www.wikidata.org/entity/Q186752,allergen,,,,
http://www.wikidata.org/entity/Q19944476,Urushiol,http://www.wikidata.org/entity/Q71956349,Q71956349,,,,
http://www.wikidata.org/entity/Q49273183,Q49273183,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q49273183,Q49273183,http://www.wikidata.org/entity/Q422917,Cannabidiol,,,,
http://www.wikidata.org/entity/Q98841400,rapsolja,http://www.wikidata.org/entity/Q42962,olja,,,,
http://www.wikidata.org/entity/Q98841400,rapsolja,http://www.wikidata.org/entity/Q427457,matolja,,,,
http://www.wikidata.org/entity/Q98841400,rapsolja,http://www.wikidata.org/entity/Q7445643,Q7445643,,,,
