food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q115443,klibbris,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q523224,Q523224,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q523224,Q523224,http://www.wikidata.org/entity/Q21976260,risrätt
http://www.wikidata.org/entity/Q732925,Q732925,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q816663,Q816663,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q1066624,Råris,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q1135788,Q1135788,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q1649635,Q1649635,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q1649635,Q1649635,http://www.wikidata.org/entity/Q67594028,Q67594028
http://www.wikidata.org/entity/Q2204436,Q2204436,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q2615884,Arborioris,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q2615884,Arborioris,http://www.wikidata.org/entity/Q67438406,Q67438406
http://www.wikidata.org/entity/Q2668493,Q2668493,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q2674257,Q2674257,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q2724236,Q2724236,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q2733021,Jasminris,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q3434007,Q3434007,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q3937029,Q3937029,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q3937029,Q3937029,http://www.wikidata.org/entity/Q67438406,Q67438406
http://www.wikidata.org/entity/Q5202996,Q5202996,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q5202996,Q5202996,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q5360953,Q5360953,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q5706293,Q5706293,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q5706296,Q5706296,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q5706352,Q5706352,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q7040589,Q7040589,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q7071362,Q7071362,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q7145121,Q7145121,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q7408949,Q7408949,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q7979691,Q7979691,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q11144306,Bhutanesiskt rött ris,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q11260995,Q11260995,http://www.wikidata.org/entity/Q2095,mat
http://www.wikidata.org/entity/Q11260995,Q11260995,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q11402186,Q11402186,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q16259029,Q16259029,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q18416333,Q18416333,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q18416333,Q18416333,http://www.wikidata.org/entity/Q67438406,Q67438406
http://www.wikidata.org/entity/Q20984885,Q20984885,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q21036089,Q21036089,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q21036158,Q21036158,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q21076881,Q21076881,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q25618331,Q25618331,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q28736370,Japanskt ris,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q44204516,Q44204516,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q46996271,Q46996271,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q59137525,Q59137525,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q64153663,Q64153663,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q67438406,Q67438406,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q67593960,Q67593960,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q67594028,Q67594028,http://www.wikidata.org/entity/Q5090,ris
http://www.wikidata.org/entity/Q92920482,Q92920482,http://www.wikidata.org/entity/Q5090,ris
