food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q413152,raklödder,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q413152,raklödder,http://www.wikidata.org/entity/Q131207,smink
http://www.wikidata.org/entity/Q413152,raklödder,http://www.wikidata.org/entity/Q215414,Skum
http://www.wikidata.org/entity/Q563500,Q563500,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q563500,Q563500,http://www.wikidata.org/entity/Q910284,tvättmedel
http://www.wikidata.org/entity/Q907249,såpa,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q962709,Dove,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q962709,Dove,http://www.wikidata.org/entity/Q180204,schampo
http://www.wikidata.org/entity/Q962709,Dove,http://www.wikidata.org/entity/Q309035,Deodorant
http://www.wikidata.org/entity/Q962709,Dove,http://www.wikidata.org/entity/Q1056607,Hårbalsam
http://www.wikidata.org/entity/Q962709,Dove,http://www.wikidata.org/entity/Q1267611,Q1267611
http://www.wikidata.org/entity/Q962709,Dove,http://www.wikidata.org/entity/Q1871151,Lotion
http://www.wikidata.org/entity/Q1189777,Raktvål,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q1189777,Raktvål,http://www.wikidata.org/entity/Q131207,smink
http://www.wikidata.org/entity/Q1434941,Q1434941,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q1434941,Q1434941,http://www.wikidata.org/entity/Q1267611,Q1267611
http://www.wikidata.org/entity/Q1890539,Q1890539,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q2617190,Aleppotvål,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q2876692,Q2876692,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q3950200,Q3950200,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q4120484,Q4120484,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q4244899,Q4244899,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q4774533,Q4774533,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q5065628,Q5065628,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q5065628,Q5065628,http://www.wikidata.org/entity/Q1419038,Q1419038
http://www.wikidata.org/entity/Q5065628,Q5065628,http://www.wikidata.org/entity/Q1871151,Lotion
http://www.wikidata.org/entity/Q5065628,Q5065628,http://www.wikidata.org/entity/Q3006091,fuktkräm
http://www.wikidata.org/entity/Q6071238,Q6071238,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q6071238,Q6071238,http://www.wikidata.org/entity/Q309035,Deodorant
http://www.wikidata.org/entity/Q6071238,Q6071238,http://www.wikidata.org/entity/Q413152,raklödder
http://www.wikidata.org/entity/Q6071238,Q6071238,http://www.wikidata.org/entity/Q1267611,Q1267611
http://www.wikidata.org/entity/Q7630537,Q7630537,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q7630537,Q7630537,http://www.wikidata.org/entity/Q180204,schampo
http://www.wikidata.org/entity/Q7630537,Q7630537,http://www.wikidata.org/entity/Q309035,Deodorant
http://www.wikidata.org/entity/Q7630537,Q7630537,http://www.wikidata.org/entity/Q1056607,Hårbalsam
http://www.wikidata.org/entity/Q7630537,Q7630537,http://www.wikidata.org/entity/Q1267611,Q1267611
http://www.wikidata.org/entity/Q7630537,Q7630537,http://www.wikidata.org/entity/Q1871151,Lotion
http://www.wikidata.org/entity/Q7918354,Q7918354,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q11959891,Q11959891,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q17636355,Q17636355,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q24026003,Q24026003,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q24026003,Q24026003,http://www.wikidata.org/entity/Q131207,smink
http://www.wikidata.org/entity/Q24026003,Q24026003,http://www.wikidata.org/entity/Q1189777,Raktvål
http://www.wikidata.org/entity/Q25106255,Q25106255,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q37946296,Q37946296,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q51285926,Q51285926,http://www.wikidata.org/entity/Q34396,tvål
http://www.wikidata.org/entity/Q56276334,Q56276334,http://www.wikidata.org/entity/Q34396,tvål
