food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q31508,Q31508,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q31511,Q31511,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q31625,korn te,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q60855,Q60855,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q170883,Q170883,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q203415,svart te,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q203415,svart te,http://www.wikidata.org/entity/Q5017160,Q5017160
http://www.wikidata.org/entity/Q203415,svart te,http://www.wikidata.org/entity/Q32022234,Q32022234
http://www.wikidata.org/entity/Q231587,Oolong,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q238306,vitt te,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q251514,Q251514,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q348958,iste,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q379932,örtte,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q379932,örtte,http://www.wikidata.org/entity/Q19359564,Q19359564
http://www.wikidata.org/entity/Q484083,grönt te,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q484083,grönt te,http://www.wikidata.org/entity/Q27684991,Q27684991
http://www.wikidata.org/entity/Q484083,grönt te,http://www.wikidata.org/entity/Q32022234,Q32022234
http://www.wikidata.org/entity/Q492205,Q492205,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q595559,Q595559,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q708203,Q708203,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q744457,Q744457,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q744457,Q744457,http://www.wikidata.org/entity/Q379932,örtte
http://www.wikidata.org/entity/Q824529,gult te,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q877661,Masala chai,http://www.wikidata.org/entity/Q6097,te
http://www.wikidata.org/entity/Q877661,Masala chai,http://www.wikidata.org/entity/Q1884224,Q1884224
http://www.wikidata.org/entity/Q989930,Smörte,http://www.wikidata.org/entity/Q6097,te
