food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q4626,Kölsch,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q4626,Kölsch,http://www.wikidata.org/entity/Q261105,Q261105,,,,
http://www.wikidata.org/entity/Q44924,Altbier,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q129487,Kamenitza,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q166116,Q166116,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q220275,Tyskt öl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q263980,Soproni,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q276726,Q276726,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q348229,belgiskt öl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q361957,Q361957,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q361957,Q361957,http://www.wikidata.org/entity/Q526314,Lambic,,,,
http://www.wikidata.org/entity/Q476661,Q476661,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q524679,lättöl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q656235,Glutenfri öl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q656235,Glutenfri öl,http://www.wikidata.org/entity/Q20057042,Q20057042,,,,
http://www.wikidata.org/entity/Q773568,Rågöl,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q808329,Kornvin,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q848019,Q848019,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q864987,Corona,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q900660,Q900660,http://www.wikidata.org/entity/Q44,öl,,,,
http://www.wikidata.org/entity/Q960197,Q960197,http://www.wikidata.org/entity/Q44,öl,,,,
