food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q697089,tea egg,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q697089,tea egg,http://www.wikidata.org/entity/Q746549,dish,,,,
http://www.wikidata.org/entity/Q698818,sweetheart cake,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q701756,Kimchi-jjigae,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q701756,Kimchi-jjigae,http://www.wikidata.org/entity/Q1062483,jjigae,,,,
http://www.wikidata.org/entity/Q704006,budae-jjigae,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q704006,budae-jjigae,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q704006,budae-jjigae,http://www.wikidata.org/entity/Q1062483,jjigae,,,,
http://www.wikidata.org/entity/Q707630,Obatzda,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q707630,Obatzda,http://www.wikidata.org/entity/Q10943,cheese,,,,
http://www.wikidata.org/entity/Q707630,Obatzda,http://www.wikidata.org/entity/Q3323634,fresh cheese,,,,
http://www.wikidata.org/entity/Q708906,turnip cake,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q710618,oyster omelette,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q710618,oyster omelette,http://www.wikidata.org/entity/Q746549,dish,,,,
http://www.wikidata.org/entity/Q712773,Shin Ramyun,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q713892,Yong tau foo,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q713892,Yong tau foo,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q716842,miyeok guk,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q716842,miyeok guk,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q716842,miyeok guk,http://www.wikidata.org/entity/Q909643,guk,,,,
http://www.wikidata.org/entity/Q717136,seolleongtang,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q717136,seolleongtang,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q717136,seolleongtang,http://www.wikidata.org/entity/Q909643,guk,,,,
http://www.wikidata.org/entity/Q718010,Suncake,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q718010,Suncake,http://www.wikidata.org/entity/Q44541,pancake,,,,
http://www.wikidata.org/entity/Q719458,brain,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q722595,quiche,http://www.wikidata.org/entity/Q2095,food,http://www.wikidata.org/entity/Q270952,cold,,
http://www.wikidata.org/entity/Q722595,quiche,http://www.wikidata.org/entity/Q746549,dish,http://www.wikidata.org/entity/Q270952,cold,,
http://www.wikidata.org/entity/Q722595,quiche,http://www.wikidata.org/entity/Q1142483,tart,http://www.wikidata.org/entity/Q270952,cold,,
http://www.wikidata.org/entity/Q722595,quiche,http://www.wikidata.org/entity/Q2957687,meat pastry,http://www.wikidata.org/entity/Q270952,cold,,
http://www.wikidata.org/entity/Q722595,quiche,http://www.wikidata.org/entity/Q2095,food,http://www.wikidata.org/entity/Q28128222,hot,,
http://www.wikidata.org/entity/Q722595,quiche,http://www.wikidata.org/entity/Q746549,dish,http://www.wikidata.org/entity/Q28128222,hot,,
http://www.wikidata.org/entity/Q722595,quiche,http://www.wikidata.org/entity/Q1142483,tart,http://www.wikidata.org/entity/Q28128222,hot,,
http://www.wikidata.org/entity/Q722595,quiche,http://www.wikidata.org/entity/Q2957687,meat pastry,http://www.wikidata.org/entity/Q28128222,hot,,
http://www.wikidata.org/entity/Q725125,Ma'amoul,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q725125,Ma'amoul,http://www.wikidata.org/entity/Q182940,dessert,,,,
http://www.wikidata.org/entity/Q727198,Sinseollo,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q727198,Sinseollo,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q736427,staple food,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q743144,Heart of palm,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q746549,dish,http://www.wikidata.org/entity/Q2095,food,,,,
