food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q134213,Skrädmjöl,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q134213,Skrädmjöl,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q651829,Kikärtsmjöl,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q837118,majsmjöl,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q837118,majsmjöl,http://www.wikidata.org/entity/Q736427,stapelföda,,,,
http://www.wikidata.org/entity/Q1073862,Q1073862,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q1269205,Q1269205,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q1412378,Q1412378,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q1412378,Q1412378,http://www.wikidata.org/entity/Q746549,maträtt,,,,
http://www.wikidata.org/entity/Q1463001,Q1463001,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q1552308,Q1552308,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q2249305,vetemjöl,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q2249305,vetemjöl,http://www.wikidata.org/entity/Q27876232,Q27876232,,,,
http://www.wikidata.org/entity/Q2998646,Q2998646,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q2998646,Q2998646,http://www.wikidata.org/entity/Q381350,mannagryn,,,,
http://www.wikidata.org/entity/Q3066924,Q3066924,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q3066926,Q3066926,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q3066928,Q3066928,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q3066928,Q3066928,http://www.wikidata.org/entity/Q57306081,Q57306081,,,,
http://www.wikidata.org/entity/Q3066930,Q3066930,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q3112529,Q3112529,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q3739616,Q3739616,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q4817854,Attamjöl,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q6534405,Q6534405,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q6821694,Q6821694,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q7490294,Q7490294,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q10658708,rågmjöl,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q10658708,rågmjöl,http://www.wikidata.org/entity/Q27876311,Q27876311,,,,
http://www.wikidata.org/entity/Q11621982,Q11621982,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q11621982,Q11621982,http://www.wikidata.org/entity/Q4536337,Q4536337,,,,
http://www.wikidata.org/entity/Q12455301,Q12455301,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q13145676,Q13145676,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q13145676,Q13145676,http://www.wikidata.org/entity/Q24265484,havre,,,,
http://www.wikidata.org/entity/Q13225835,Q13225835,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q16445170,Q16445170,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q18088445,Q18088445,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q18220123,Q18220123,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q18220123,Q18220123,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q18235491,Q18235491,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q18356389,Bananmjöl,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q20994945,Q20994945,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q25323829,Q25323829,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q25323829,Q25323829,http://www.wikidata.org/entity/Q38117921,ätbart insekt,,,,
http://www.wikidata.org/entity/Q25323983,Q25323983,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q25616630,Q25616630,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q27876189,Q27876189,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q27876189,Q27876189,http://www.wikidata.org/entity/Q27862649,Q27862649,,,,
http://www.wikidata.org/entity/Q43668879,Q43668879,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q57306081,Q57306081,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q57306081,Q57306081,http://www.wikidata.org/entity/Q20057042,Q20057042,,,,
http://www.wikidata.org/entity/Q57306876,Q57306876,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q57655678,Q57655678,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q57655854,Q57655854,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q57655854,Q57655854,http://www.wikidata.org/entity/Q259438,Hirs,,,,
http://www.wikidata.org/entity/Q57656115,Q57656115,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q58218306,Q58218306,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q64428082,Q64428082,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q67890219,Q67890219,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q70049887,Q70049887,http://www.wikidata.org/entity/Q36465,mjöl,,,,
http://www.wikidata.org/entity/Q95388739,Q95388739,http://www.wikidata.org/entity/Q36465,mjöl,,,,
