food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q41274,äppelfrukt,,,http://www.wikidata.org/entity/Q943,gul
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q145150,Q145150,,,http://www.wikidata.org/entity/Q943,gul
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q943,gul
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q41274,äppelfrukt,,,http://www.wikidata.org/entity/Q3133,grön
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q145150,Q145150,,,http://www.wikidata.org/entity/Q3133,grön
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q3133,grön
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q41274,äppelfrukt,,,http://www.wikidata.org/entity/Q3142,röd
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q145150,Q145150,,,http://www.wikidata.org/entity/Q3142,röd
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q3142,röd
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q41274,äppelfrukt,,,http://www.wikidata.org/entity/Q23444,vit
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q145150,Q145150,,,http://www.wikidata.org/entity/Q23444,vit
http://www.wikidata.org/entity/Q89,äpple,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q23444,vit
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q14712,stenfrukt,,,http://www.wikidata.org/entity/Q943,gul
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q159683,Citronsyra,,,http://www.wikidata.org/entity/Q943,gul
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q943,gul
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q14712,stenfrukt,,,http://www.wikidata.org/entity/Q3133,grön
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q159683,Citronsyra,,,http://www.wikidata.org/entity/Q3133,grön
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q3133,grön
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q14712,stenfrukt,,,http://www.wikidata.org/entity/Q39338,orange
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q159683,Citronsyra,,,http://www.wikidata.org/entity/Q39338,orange
http://www.wikidata.org/entity/Q169,mango,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q39338,orange
http://www.wikidata.org/entity/Q196,körsbär,http://www.wikidata.org/entity/Q14712,stenfrukt,,,http://www.wikidata.org/entity/Q3142,röd
http://www.wikidata.org/entity/Q196,körsbär,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q3142,röd
http://www.wikidata.org/entity/Q11009,nöt,http://www.wikidata.org/entity/Q160034,Q160034,,,,
http://www.wikidata.org/entity/Q11009,nöt,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q13191,apelsin,http://www.wikidata.org/entity/Q1429336,Q1429336,,,http://www.wikidata.org/entity/Q39338,orange
http://www.wikidata.org/entity/Q13191,apelsin,http://www.wikidata.org/entity/Q2574750,citrusfrukt,,,http://www.wikidata.org/entity/Q39338,orange
http://www.wikidata.org/entity/Q13191,apelsin,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q39338,orange
http://www.wikidata.org/entity/Q13195,lime,http://www.wikidata.org/entity/Q1429336,Q1429336,,,,
http://www.wikidata.org/entity/Q13195,lime,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q22691,Vinbärssläktet,http://www.wikidata.org/entity/Q13184,bär,,,,
http://www.wikidata.org/entity/Q22691,Vinbärssläktet,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q38645,vattenmelon,http://www.wikidata.org/entity/Q1364,frukt,,,,
http://www.wikidata.org/entity/Q38645,vattenmelon,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q81513,Citrussläktet,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q130172,Q130172,http://www.wikidata.org/entity/Q2574750,citrusfrukt,,,,
http://www.wikidata.org/entity/Q130172,Q130172,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q134185,Durian,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q147316,Ananassläktet,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q149865,Q149865,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q149865,Q149865,http://www.wikidata.org/entity/Q18341502,Q18341502,,,,
http://www.wikidata.org/entity/Q190024,Q190024,http://www.wikidata.org/entity/Q2574750,citrusfrukt,,,http://www.wikidata.org/entity/Q39338,orange
http://www.wikidata.org/entity/Q190024,Q190024,http://www.wikidata.org/entity/Q3314483,frukt,,,http://www.wikidata.org/entity/Q39338,orange
http://www.wikidata.org/entity/Q192147,Taggannona,http://www.wikidata.org/entity/Q13184,bär,,,,
http://www.wikidata.org/entity/Q192147,Taggannona,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q415622,Q415622,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q454966,Q454966,http://www.wikidata.org/entity/Q14712,stenfrukt,,,,
http://www.wikidata.org/entity/Q454966,Q454966,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q476864,Rambutan,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q496600,Q496600,http://www.wikidata.org/entity/Q2574750,citrusfrukt,,,,
http://www.wikidata.org/entity/Q496600,Q496600,http://www.wikidata.org/entity/Q3314483,frukt,,,,
http://www.wikidata.org/entity/Q498862,Williamspäron,http://www.wikidata.org/entity/Q434,päronsläktet,,,,
