food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q3392360,Q3392360,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q3559383,Q3559383,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q3559386,Q3559386,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q3561258,Q3561258,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q3561258,Q3561258,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q3561264,Q3561264,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q3561264,Q3561264,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q3655986,Q3655986,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q3664987,Q3664987,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q3721167,Q3721167,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q3909881,Q3909881,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q4111867,Q4111867,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q4111867,Q4111867,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q4648316,Q4648316,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q4648316,Q4648316,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q4992384,Q4992384,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q5139148,Q5139148,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q5139148,Q5139148,http://www.wikidata.org/entity/Q192150,Aperitif,,,,
http://www.wikidata.org/entity/Q5424508,Q5424508,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q5563085,Q5563085,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q5684493,Q5684493,http://www.wikidata.org/entity/Q282,vin,,,,
