food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q964469,Q964469,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q964469,Q964469,http://www.wikidata.org/entity/Q666242,Tunna bröd,,,,
http://www.wikidata.org/entity/Q966178,Q966178,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q973698,Q973698,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q976961,Q976961,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q977539,Mochiglass,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q980096,Q980096,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q982758,Q982758,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q982758,Q982758,http://www.wikidata.org/entity/Q23004,småfranska,,,,
http://www.wikidata.org/entity/Q983160,Bak kut teh,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q987157,Q987157,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q990894,Q990894,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q990894,Q990894,http://www.wikidata.org/entity/Q41415,soppa,,,,
http://www.wikidata.org/entity/Q994169,Q994169,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1021348,Q1021348,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1024766,Q1024766,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1024766,Q1024766,http://www.wikidata.org/entity/Q1472481,smörgåspålägg,,,,
http://www.wikidata.org/entity/Q1025010,Q1025010,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1025010,Q1025010,http://www.wikidata.org/entity/Q44541,pannkaka,,,,
http://www.wikidata.org/entity/Q1026488,Q1026488,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1026488,Q1026488,http://www.wikidata.org/entity/Q41415,soppa,,,,
http://www.wikidata.org/entity/Q1035290,Carac,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1035290,Carac,http://www.wikidata.org/entity/Q13497,schweiziska köket,,,,
http://www.wikidata.org/entity/Q1035290,Carac,http://www.wikidata.org/entity/Q477248,bakverk,,,,
http://www.wikidata.org/entity/Q1037015,Q1037015,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1037853,Q1037853,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1037853,Q1037853,http://www.wikidata.org/entity/Q41415,soppa,,,,
http://www.wikidata.org/entity/Q1037853,Q1037853,http://www.wikidata.org/entity/Q909643,guk,,,,
http://www.wikidata.org/entity/Q1038537,brysselkex,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1038537,brysselkex,http://www.wikidata.org/entity/Q13270,kex,,,,
http://www.wikidata.org/entity/Q1042920,sockerbit,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1042920,sockerbit,http://www.wikidata.org/entity/Q11002,socker,,,,
http://www.wikidata.org/entity/Q1047392,Korvbröd,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1047392,Korvbröd,http://www.wikidata.org/entity/Q13377687,bulle,,,,
http://www.wikidata.org/entity/Q1047978,Q1047978,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1048130,Q1048130,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1053103,Q1053103,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1053103,Q1053103,http://www.wikidata.org/entity/Q11276778,Q11276778,,,,
http://www.wikidata.org/entity/Q1054891,Q1054891,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1054891,Q1054891,http://www.wikidata.org/entity/Q7802,bröd,,,,
http://www.wikidata.org/entity/Q1054891,Q1054891,http://www.wikidata.org/entity/Q44541,pannkaka,,,,
http://www.wikidata.org/entity/Q1055395,Q1055395,http://www.wikidata.org/entity/Q178,pasta,,,,
http://www.wikidata.org/entity/Q1055395,Q1055395,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1057717,Q1057717,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1057717,Q1057717,http://www.wikidata.org/entity/Q13276,kaka,,,,
http://www.wikidata.org/entity/Q1062396,kakaopulver,http://www.wikidata.org/entity/Q2095,mat,,,http://www.wikidata.org/entity/Q47071,brun
http://www.wikidata.org/entity/Q1062396,kakaopulver,http://www.wikidata.org/entity/Q2908004,pulver,,,http://www.wikidata.org/entity/Q47071,brun
http://www.wikidata.org/entity/Q1062483,Jjigae,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1062483,Jjigae,http://www.wikidata.org/entity/Q2920963,stuvning,,,,
http://www.wikidata.org/entity/Q1062531,Q1062531,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1062531,Q1062531,http://www.wikidata.org/entity/Q746549,maträtt,,,,
http://www.wikidata.org/entity/Q1069561,Q1069561,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1069561,Q1069561,http://www.wikidata.org/entity/Q41415,soppa,,,,
http://www.wikidata.org/entity/Q1069561,Q1069561,http://www.wikidata.org/entity/Q28100368,Q28100368,,,,
http://www.wikidata.org/entity/Q1070271,Chermoula,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1071136,Q1071136,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1071136,Q1071136,http://www.wikidata.org/entity/Q12139612,lista,,,,
http://www.wikidata.org/entity/Q1071699,Q1071699,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1071699,Q1071699,http://www.wikidata.org/entity/Q41415,soppa,,,,
http://www.wikidata.org/entity/Q1072124,Q1072124,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1072946,chilipulver,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1072946,chilipulver,http://www.wikidata.org/entity/Q42527,krydda,,,,
http://www.wikidata.org/entity/Q1072971,Q1072971,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1075430,Q1075430,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1075430,Q1075430,http://www.wikidata.org/entity/Q909643,guk,,,,
http://www.wikidata.org/entity/Q1076110,Q1076110,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1078202,Q1078202,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1078202,Q1078202,http://www.wikidata.org/entity/Q13276,kaka,,,,
http://www.wikidata.org/entity/Q1078936,Q1078936,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1090081,Q1090081,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1090081,Q1090081,http://www.wikidata.org/entity/Q3897491,Q3897491,,,,
http://www.wikidata.org/entity/Q1092662,Q1092662,http://www.wikidata.org/entity/Q2095,mat,,,,
http://www.wikidata.org/entity/Q1092662,Q1092662,http://www.wikidata.org/entity/Q41415,soppa,,,,
